"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8352","alertsTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.alertFrameWindow.AlertsPageTest","demoqaTest.alertFrameWindow.AlertsPageTest","alertsTest"
"","8489","radioButtonTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.RadioButtonTest","demoqaTest.elementsTest.RadioButtonTest","radioButtonTest"
"","7780","iframeTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.alertFrameWindow.IframeTest","demoqaTest.alertFrameWindow.IframeTest","iframeTest"
"","1377","commentTest()","","2026-04-09","passed","2026-04-09","","gorestTests.api.UsersTest","gorestTests.api.UsersTest","commentTest"
"","1425","exportAllUsersToCsv()","","2026-04-09","passed","2026-04-09","","gorestTests.api.EndToEndTest","gorestTests.api.EndToEndTest","exportAllUsersToCsv"
"","5231","performFullCrudOperationsForUserTest()","","2026-04-09","passed","2026-04-09","","gorestTests.api.UsersTest","gorestTests.api.UsersTest","performFullCrudOperationsForUserTest"
"","1386","toDoTest()","","2026-04-09","passed","2026-04-09","","gorestTests.api.UsersTest","gorestTests.api.UsersTest","toDoTest"
"","35776","practiceFormTest3()","","2026-04-09","broken","2026-04-09","","demoqaTest.formsTest.PracticeFormTest","demoqaTest.formsTest.PracticeFormTest","practiceFormTest3"
"","6268","E2E: create user → create post → create comment → create todo → delete user","","2026-04-09","passed","2026-04-09","","gorestTests.api.EndToEndTest","gorestTests.api.EndToEndTest","performFullUserWorkflowFromCreationToDeletion"
"","7661","addNewEmployeeTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.WebTablesTest","demoqaTest.elementsTest.WebTablesTest","addNewEmployeeTest"
"","678","getRandomUserFromCsv()","","2026-04-09","passed","2026-04-09","","gorestTests.api.EndToEndTest","gorestTests.api.EndToEndTest","getRandomUserFromCsv"
"","1","getAllUsersFromCsvAndPickRandom()","","2026-04-09","passed","2026-04-09","","gorestTests.api.EndToEndTest","gorestTests.api.EndToEndTest","getAllUsersFromCsvAndPickRandom"
"","8264","practiceFormTest1()","","2026-04-09","passed","2026-04-09","","demoqaTest.formsTest.PracticeFormTest","demoqaTest.formsTest.PracticeFormTest","practiceFormTest1"
"","8606","textBoxCompareDisplayedInfoTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.TextBoxTest","demoqaTest.elementsTest.TextBoxTest","textBoxCompareDisplayedInfoTest"
"","8695","practiceFormTest2()","","2026-04-09","passed","2026-04-09","","demoqaTest.formsTest.PracticeFormTest","demoqaTest.formsTest.PracticeFormTest","practiceFormTest2"
"","2255","postTest()","","2026-04-09","passed","2026-04-09","","gorestTests.api.UsersTest","gorestTests.api.UsersTest","postTest"
"","7980","checkBoxTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.CheckBoxTest","demoqaTest.elementsTest.CheckBoxTest","checkBoxTest"
"","7911","removeTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.WebTablesTest","demoqaTest.elementsTest.WebTablesTest","removeTest"
"","8655","buttonPageTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.ButtonPageTest","demoqaTest.elementsTest.ButtonPageTest","buttonPageTest"
"","7398","textBoxTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.TextBoxTest","demoqaTest.elementsTest.TextBoxTest","textBoxTest"
"","7267","editTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.WebTablesTest","demoqaTest.elementsTest.WebTablesTest","editTest"
"","8437","webTablesTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.elementsTest.WebTablesTest","demoqaTest.elementsTest.WebTablesTest","webTablesTest"
"","7345","windowTest()","","2026-04-09","passed","2026-04-09","","demoqaTest.alertFrameWindow.WindowTest","demoqaTest.alertFrameWindow.WindowTest","windowTest"
